Автономия,90,100,95,75,80,55,495,440
Поручик Ржевский,80,95,54,100,54,100,483,429
Команда А [EN version],65,90,49,80,95,95,474,425
МОКсБиШ,75,80,65,65,100,80,465,400
Mr. Spark на бэхе,100,53,51,52,85,85,426,375
МЖМ,,60,70,95,,90,315,315
Тлен&Безысходность,49,43,43,46,70,75,326,283
ТП team,,,85,85,53,52,275,275
MZ#91,60,45,42,48,65,54,314,272
PFF_,52,75,90,50,,,267,267
THЕ BЕST,,85,80,90,,,255,255
Курс на Байконур,,47,75,45,52,,219,219
Kотаны,43,41,35,42,49,,210,210
Не было печали,85,70,40,,,,195,195
Между Dелом,95,42,53,,,,190,190
Анклав ENcoded DReam,,50,60,70,,,180,180
RamP.S.ы,,,55,47,,60,162,162
Паровозик который смог,51,54,,55,,,160,160
"Я корг Алкаш, а Динк толстый корг",70,,,,90,,160,160
R.S.G.,55,,,54,50,,159,159
Suzukiны дети,47,52,50,,,,149,149
_ДНО_,46,,38,,,53,137,137
42cm,39,46,44,,,,129,129
2 K,,,,,60,65,125,125
Трудное детство,,65,48,,,,113,113
ALTСовятник,,55,52,,,,107,107
Просто Nяшки,54,,,,51,,105,105
Сложно, блять, нихуя не понятно! Можно без этого?,0,,100,,,,100,100
Перебор запрещён,,51,46,,,,97,97
BHZ,48,48,,,,,96,96
Пупочек44,42,,,53,,,95,95
Тигры F1,,,45,49,,,94,94
РУКАЛИЦО,,,,,48,45,93,93
Баклажан (КиО),50,,39,,,,89,89
АкулЁNки,,38,,44,,,82,82
Сентеросгель,,,,,75,,75,75
Аум,40,,33,,,,73,73
QWERTY12345,,36,36,,,,72,72
Dzu и его воображаемые друзья,0,37,34,,,,71,71
c'est LА vie!,,,,,,70,70,70
chimichanga,,,,60,,,60,60
Полиэтиленовый привет,,,,,55,,55,55
GASH,53,,,,,,53,53
WTF_team,,,,51,,,51,51
ААААА,,,,,,51,51,51
Совы без лисы(,,,,,,50,50,50
Adeptus Custodes,,49,,,,,49,49
Отпути. Не путю.,,,,,,49,49,49
Не забываем страдать!,,,,,,48,48,48
Влагалище Дельфина,,,47,,,,47,47
Ойра,,,,,47,,47,47
Лютый Лютик,,,,,,47,47,47
SOMNAMBULISTS,,,,,46,,46,46
Даю Установку,,,,,,46,46,46
